grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102211+29170,26.2043059954085,91.81815266278248,Low,vegetated,23.75368712039132,Low priority - no action needed (ML tiering)
+102211+29171,26.205204310692626,91.81815266278248,Low,vegetated,24.456130305230133,Low priority - no action needed (ML tiering)
+102212+29156,26.19172958143083,91.8190509780666,Low,vegetated,24.63594038356148,Low priority - no action needed (ML tiering)
+102212+29157,26.19262789671495,91.8190509780666,Low,vegetated,24.461287796316363,Low priority - no action needed (ML tiering)
+102212+29158,26.19352621199907,91.8190509780666,Low,vegetated,24.36850128472808,Low priority - no action needed (ML tiering)
+102212+29159,26.19442452728319,91.8190509780666,Low,vegetated,24.605769554437867,Low priority - no action needed (ML tiering)
+102212+29160,26.195322842567304,91.8190509780666,Low,vegetated,24.433581426445546,Low priority - no action needed (ML tiering)
+102212+29161,26.19622115785143,91.8190509780666,Low,vegetated,23.83628904947066,Low priority - no action needed (ML tiering)
+102212+29162,26.197119473135547,91.8190509780666,Low,vegetated,23.240368426742343,Low priority - no action needed (ML tiering)
+102212+29163,26.198017788419666,91.8190509780666,Low,vegetated,23.31079049907125,Low priority - no action needed (ML tiering)
+102212+29164,26.198916103703784,91.8190509780666,Low,vegetated,23.494453588071085,Low priority - no action needed (ML tiering)
+102212+29165,26.19981441898791,91.8190509780666,Low,vegetated,23.5764239999616,Low priority - no action needed (ML tiering)
+102212+29166,26.200712734272027,91.8190509780666,Low,vegetated,23.833120404912723,Low priority - no action needed (ML tiering)
+102212+29167,26.20161104955614,91.8190509780666,Low,vegetated,23.33141229903556,Low priority - no action needed (ML tiering)
+102212+29168,26.20250936484027,91.8190509780666,Low,vegetated,22.862446285572663,Low priority - no action needed (ML tiering)
+102212+29169,26.203407680124386,91.8190509780666,Low,vegetated,23.23610127223465,Low priority - no action needed (ML tiering)
+102212+29170,26.2043059954085,91.8190509780666,Low,vegetated,24.182763252298788,Low priority - no action needed (ML tiering)
+102212+29171,26.205204310692626,91.8190509780666,Low,vegetated,25.46037898067739,Low priority - no action needed (ML tiering)
+102213+29156,26.19172958143083,91.81994929335072,Low,vegetated,24.553076670694846,Low priority - no action needed (ML tiering)
+102213+29157,26.19262789671495,91.81994929335072,Low,vegetated,24.398059796808656,Low priority - no action needed (ML tiering)
+102213+29158,26.19352621199907,91.81994929335072,Low,vegetated,24.30429133758524,Low priority - no action needed (ML tiering)
+102213+29159,26.19442452728319,91.81994929335072,Low,vegetated,24.34481076875002,Low priority - no action needed (ML tiering)
+102213+29160,26.195322842567304,91.81994929335072,Low,vegetated,24.307530601239524,Low priority - no action needed (ML tiering)
+102213+29161,26.19622115785143,91.81994929335072,Low,vegetated,23.617382714550423,Low priority - no action needed (ML tiering)
+102213+29162,26.197119473135547,91.81994929335072,Low,vegetated,22.83674370605799,Low priority - no action needed (ML tiering)
+102213+29163,26.198017788419666,91.81994929335072,Low,vegetated,22.846007208585903,Low priority - no action needed (ML tiering)
+102213+29164,26.198916103703784,91.81994929335072,Low,vegetated,23.296102466972467,Low priority - no action needed (ML tiering)
+102213+29165,26.19981441898791,91.81994929335072,Low,vegetated,23.78013930474862,Low priority - no action needed (ML tiering)
+102213+29166,26.200712734272027,91.81994929335072,Low,vegetated,24.74480264974162,Low priority - no action needed (ML tiering)
+102213+29167,26.20161104955614,91.81994929335072,Low,vegetated,24.14395918260337,Low priority - no action needed (ML tiering)
+102213+29168,26.20250936484027,91.81994929335072,Low,vegetated,23.27182220680868,Low priority - no action needed (ML tiering)
+102213+29169,26.203407680124386,91.81994929335072,Low,vegetated,23.189419162838693,Low priority - no action needed (ML tiering)
+102213+29170,26.2043059954085,91.81994929335072,Low,vegetated,23.482491757382192,Low priority - no action needed (ML tiering)
+102213+29171,26.205204310692626,91.81994929335072,Low,vegetated,24.270836414113138,Low priority - no action needed (ML tiering)
+102213+29172,26.206102625976747,91.81994929335072,Low,vegetated,25.33369428404896,Low priority - no action needed (ML tiering)
+102214+29156,26.19172958143083,91.82084760863484,Low,vegetated,24.850565403650645,Low priority - no action needed (ML tiering)
+102214+29157,26.19262789671495,91.82084760863484,Low,vegetated,24.951848677604616,Low priority - no action needed (ML tiering)
+102214+29158,26.19352621199907,91.82084760863484,Low,vegetated,24.66951399985872,Low priority - no action needed (ML tiering)
+102214+29159,26.19442452728319,91.82084760863484,Low,vegetated,24.265669244822195,Low priority - no action needed (ML tiering)
+102214+29160,26.195322842567304,91.82084760863484,Low,vegetated,24.08634058497909,Low priority - no action needed (ML tiering)
+102214+29161,26.19622115785143,91.82084760863484,Low,vegetated,23.44751983651089,Low priority - no action needed (ML tiering)
+102214+29162,26.197119473135547,91.82084760863484,Low,vegetated,22.734531551652736,Low priority - no action needed (ML tiering)
+102214+29163,26.198017788419666,91.82084760863484,Low,vegetated,22.694189262248976,Low priority - no action needed (ML tiering)
+102214+29164,26.198916103703784,91.82084760863484,Low,vegetated,23.329364705652186,Low priority - no action needed (ML tiering)
+102214+29165,26.19981441898791,91.82084760863484,Low,vegetated,24.070831974707136,Low priority - no action needed (ML tiering)
+102214+29166,26.200712734272027,91.82084760863484,Low,vegetated,24.999733731506304,Low priority - no action needed (ML tiering)
+102214+29167,26.20161104955614,91.82084760863484,Low,vegetated,24.3608234494022,Low priority - no action needed (ML tiering)
+102214+29168,26.20250936484027,91.82084760863484,Low,vegetated,23.46197213486404,Low priority - no action needed (ML tiering)
+102214+29169,26.203407680124386,91.82084760863484,Low,vegetated,23.290232122981195,Low priority - no action needed (ML tiering)
+102214+29170,26.2043059954085,91.82084760863484,Low,vegetated,23.30608625567393,Low priority - no action needed (ML tiering)
+102214+29171,26.205204310692626,91.82084760863484,Low,vegetated,23.50810885008369,Low priority - no action needed (ML tiering)
+102214+29172,26.206102625976747,91.82084760863484,Low,vegetated,24.68020029398092,Low priority - no action needed (ML tiering)
+102215+29156,26.191729581430828,91.82174592391895,Low,vegetated,24.85923053612782,Low priority - no action needed (ML tiering)
+102215+29157,26.19262789671495,91.82174592391895,Low,vegetated,25.576398322953928,Low priority - no action needed (ML tiering)
+102215+29158,26.193526211999067,91.82174592391895,Low,vegetated,25.07927160358595,Low priority - no action needed (ML tiering)
+102215+29159,26.1944245272832,91.82174592391895,Low,vegetated,24.59334700898396,Low priority - no action needed (ML tiering)
+102215+29160,26.195322842567304,91.82174592391895,Low,vegetated,24.238507840520256,Low priority - no action needed (ML tiering)
+102215+29161,26.196221157851426,91.82174592391895,Low,vegetated,23.77233563972446,Low priority - no action needed (ML tiering)
+102215+29162,26.197119473135547,91.82174592391895,Low,vegetated,23.226947566438568,Low priority - no action needed (ML tiering)
